"","Estimate","Std. Error","Pr(>|z|)"
"Entry03C132P003",-1.60786056333281,0.70758476284057,0.0230670570474215
"Entry11C020P001",-1.42880861326761,0.713981967448854,0.0453726666111506
"Entry12.115-10",-1.65456790042435,0.679848496115937,0.014944124393427
"Entry12C070P602",2.28469154264897,0.828573502427843,0.00582666945314463
"Entry15.103-37",-2.45315409304472,0.764535203190802,0.00133342611236148
"Entry17.72-89",-1.48212711542308,0.674590224594596,0.0280148999560464
"Entry17C721P606",-1.88804640045537,0.743877240434912,0.0111451175690224
"Entry18B004P007",1.70251368388988,0.789212956746436,0.0309877661010574
"Entry20B334P091",3.21060363672307,0.946314071346523,0.000691956735657051
"Entry21.66-2",-2.34520568359276,0.722286233974832,0.00116661139974186
"Entry22.98-30",-2.70802946070507,0.708267360172643,0.000131593802700695
"Entry64C028P018",2.01307598165411,0.778931301203859,0.00975464355479464
"Entry77C084P103",1.92510115950305,0.844512863852364,0.0226349635048889
"Entry94C003P011",-1.89754795107779,0.680575120331549,0.00530094088116715
"EntryPI270464",2.2137565166835,0.845826846223179,0.00886364185265495
"EntryPI551396",1.64238852314707,0.771028089397964,0.0331610471265008
"EntryPI551423",3.00327198892362,0.961846287443716,0.00179381044079059
"EntryPI551652",2.91211910485785,0.96286004801062,0.00249088178035823
"EntryPI551862",2.95919778721264,0.973784580985615,0.00237472937549632
